,precision,recall,f1-score,support
turn_on_lights,0.8376068376068376,0.9245283018867925,0.8789237668161435,106.0
set_timer,1.0,0.4,0.5714285714285714,10.0
thank_you,0.0,0.0,0.0,5.0
turn_off_lights,0.926605504587156,0.9528301886792453,0.9395348837209302,106.0
set_alarm,1.0,0.7,0.8235294117647058,10.0
accuracy,0.8860759493670886,0.8860759493670886,0.8860759493670886,0.8860759493670886
macro avg,0.7528424684387988,0.5954716981132074,0.6426833267460703,237.0
weighted avg,0.8734451825846553,0.8860759493670886,0.872178045522627,237.0
